#{"t_start": 1595253571.1360445, "env_id": "NovelGridworld-v0"}
r,l,t
48,3,121.699197
46,5,121.762159
-15,66,122.586685
49,2,122.612672
47,4,122.663641
39,12,122.835543
33,18,123.070406
45,6,123.149361
13,38,123.730026
32,19,124.008867
-16,67,124.947325
31,20,125.211172
43,8,125.326105
36,15,125.520993
20,31,125.985726
49,2,126.01371
48,3,126.058683
43,8,126.158626
48,3,126.196604
-142,193,128.731143
43,8,128.836083
34,17,129.053957
48,3,129.089936
43,8,129.211865
38,13,129.397759
-5,56,130.15732
50,1,130.169313
48,3,130.205294
49,2,130.230279
50,1,130.246269
41,10,130.378194
38,13,130.557091
43,8,130.665027
46,5,130.734994
47,4,130.788957
38,13,130.961857
-310,361,135.573198
47,4,135.620172
47,4,135.667145
50,1,135.680136
34,17,135.915002
47,4,135.963973
42,9,136.094897
44,7,136.186844
38,13,136.397723
-19,70,137.527072
48,3,137.56605
9,42,138.12173
49,2,138.150714
41,10,138.276642
49,2,138.305623
47,4,138.361593
-4,55,139.063187
32,19,139.307046
28,23,139.61687
40,11,139.760785
48,3,139.798763
50,1,139.813753
-95,146,141.657691
40,11,141.792612
47,4,141.840587
45,6,141.912545
48,3,141.949523
31,20,142.188385
45,6,142.259344
46,5,142.322311
-498,549,149.184354
49,2,149.211339
39,12,149.378242
36,15,149.599115
44,7,149.688074
46,5,149.747027
41,10,149.864961
46,5,149.923927
3,48,150.520582
50,1,150.534574
44,7,150.625542
48,3,150.669496
45,6,150.751449
48,3,150.789428
42,9,150.903362
48,3,150.94234
-67,118,152.429482
50,1,152.444473
38,13,152.592387
46,5,152.652354
-45,96,153.803689
48,3,153.848663
46,5,153.918623
-101,152,155.846512
-34,85,156.935902
47,4,156.982856
-31,82,157.970306
46,5,158.033254
46,5,158.092217
-153,204,160.622759
50,1,160.634752
-94,145,162.433714
50,1,162.449707
32,19,162.675575
48,3,162.710555
48,3,162.745534
46,5,162.82449
26,25,163.126315
50,1,163.138308
32,19,163.367178
-40,91,164.482533
47,4,164.529507
45,6,164.602465
49,2,164.629449
45,6,164.699408
42,9,164.812347
43,8,164.90529
50,1,164.917283
41,10,165.035233
49,2,165.062199
21,30,165.415997
31,20,165.665851
29,22,165.930699
49,2,165.954684
34,17,166.162566
45,6,166.232525
49,2,166.256513
49,2,166.282496
49,2,166.306483
50,1,166.318475
45,6,166.396442
48,3,166.434412
42,9,166.551344
46,5,166.610306
36,15,166.786205
44,7,166.869158
-155,206,169.39472
47,4,169.446675
44,7,169.529625
48,3,169.567603
48,3,169.603584
41,10,169.719514
47,4,169.76649
-375,426,175.043445
11,40,175.564146
47,4,175.620114
44,7,175.718058
50,1,175.731051
17,34,176.183789
26,25,176.529588
43,8,176.638527
47,4,176.689497
49,2,176.71848
47,4,176.779448
41,10,176.918365
47,4,176.972334
-10,61,177.768887
50,1,177.784869
34,17,177.996742
48,3,178.032724
39,12,178.17764
20,31,178.564415
48,3,178.603393
46,5,178.658362
-252,303,182.700045
30,21,182.966878
8,43,183.537549
50,1,183.551542
29,22,183.829381
49,2,183.854367
43,8,183.946314
46,5,184.005279
42,9,184.119213
-2,53,184.819811
44,7,184.904761
43,8,185.007702
50,1,185.020694
40,11,185.162612
18,33,185.573375
43,8,185.692309
44,7,185.780257
39,12,185.935168
46,5,186.004128
44,7,186.093076
38,13,186.262979
46,5,186.325943
46,5,186.386911
36,15,186.583793
-10,61,187.428308
49,2,187.45729
34,17,187.690156
48,3,187.73313
32,19,188.005974
25,26,188.360769
44,7,188.443721
43,8,188.540668
-434,485,194.981953
8,43,195.543632
27,24,195.868441
48,3,195.90542
49,2,195.932404
43,8,196.046338
1,50,196.75793
46,5,196.820904
42,9,196.932828
47,4,196.979802
16,35,197.433539
32,19,197.691389
47,4,197.742361
7,44,198.336018
49,2,198.361004
0,51,198.994638
47,4,199.043629
30,21,199.347435
-33,84,200.611707
49,2,200.641689
4,47,201.270326
33,18,201.500195
6,45,202.192795
47,4,202.270751
43,8,202.39268
43,8,202.492622
44,7,202.584569
46,5,202.660527
38,13,202.82543
47,4,202.884397
7,44,203.543019
-19,70,204.783304
-63,114,206.538291
49,2,206.57127
47,4,206.654223
49,2,206.704194
40,11,206.895086
20,31,207.42278
24,27,207.898508
31,20,208.251304
48,3,208.300273
43,8,208.41021
44,7,208.490165
-24,75,209.468601
39,12,209.621513
48,3,209.662489
49,2,209.688473
50,1,209.702466
-85,136,211.461452
41,10,211.591378
42,9,211.717305
45,6,211.798257
21,30,212.198028
3,48,212.808675
48,3,212.872648
44,7,213.020553
49,2,213.054534
41,10,213.215443
-5,56,213.991993
33,18,214.233855
43,8,214.339792
34,17,214.556667
47,4,214.602641
49,2,214.62663
45,6,214.701586
-16,67,215.49213
44,7,215.578079
44,7,215.664029
49,2,215.693013
9,42,216.194723
47,4,216.242696
47,4,216.291668
5,46,216.922305
47,4,216.974274
42,9,217.076215
47,4,217.132182
41,10,217.286094
43,8,217.399029
30,21,217.680866
40,11,217.830781
45,6,217.907736
47,4,217.963704
45,6,218.040658
47,4,218.09063
-12,63,218.905162
48,3,218.949135
49,2,218.97812
48,3,219.015099
43,8,219.113042
45,6,219.184
49,2,219.209998
35,16,219.402878
43,8,219.495821
50,1,219.507814
11,40,219.989539
23,28,220.33034
-43,94,221.479677
46,5,221.545639
46,5,221.607604
40,11,221.740526
49,2,221.765512
4,47,222.361181
37,14,222.523075
48,3,222.560053
48,3,222.597032
2,49,223.188694
46,5,223.246658
39,12,223.388576
-137,188,225.620308
47,4,225.667264
50,1,225.680255
50,1,225.69326
21,30,226.071048
-59,110,227.396267
50,1,227.41026
49,2,227.434244
47,4,227.480219
48,3,227.516198
-52,103,228.77947
46,5,228.848428
47,4,228.902398
50,1,228.91539
37,14,229.085293
47,4,229.138262
46,5,229.197246
49,2,229.224213
48,3,229.260193
49,2,229.290176
46,5,229.358136
-15,66,230.210645
47,4,230.260617
-18,69,231.10213
38,13,231.271032
42,9,231.388966
43,8,231.488907
34,17,231.711781
33,18,231.954638
47,4,232.010607
48,3,232.049584
50,1,232.062577
-16,67,233.049008
45,6,233.125965
44,7,233.212912
47,4,233.262885
48,3,233.299863
23,28,233.664652
39,12,233.819563
50,1,233.832556
50,1,233.849546
50,1,233.864537
-88,139,235.633518
45,6,235.717469
-50,101,237.143647
48,3,237.184624
50,1,237.198616
48,3,237.237594
39,12,237.4005
42,9,237.54042
48,3,237.574399
23,28,237.935191
-267,318,241.722009
46,5,241.799965
49,2,241.830945
-44,95,242.959295
50,1,242.973287
47,4,243.01926
48,3,243.054239
38,13,243.206152
-56,107,244.522394
47,4,244.580362
46,5,244.643342
48,3,244.683313
45,6,244.757271
32,19,244.99414
50,1,245.007114
-61,112,246.365331
42,9,246.469274
46,5,246.534234
38,13,246.710132
-29,80,247.664583
48,3,247.700563
-319,370,252.148997
43,8,252.245943
38,13,252.402851
49,2,252.426849
50,1,252.438842
50,1,252.451825
28,23,252.722666
48,3,252.758645
14,37,253.197392
50,1,253.209388
48,3,253.246365
21,30,253.606159
45,6,253.676117
48,3,253.709097
23,28,254.048904
37,14,254.219804
42,9,254.326741
47,4,254.371717
49,2,254.395702
18,33,254.793475
49,2,254.818458
44,7,254.910406
43,8,255.00635
46,5,255.068316
20,31,255.442111
50,1,255.454095
20,31,255.813886
48,3,255.849865
48,3,255.884846
49,2,255.911828
47,4,255.965797
48,3,255.999778
36,15,256.176677
47,4,256.225647
40,11,256.360569
7,44,256.897261
-3,54,257.536893
48,3,257.571872
43,8,257.663817
43,8,257.759763
49,2,257.785766
22,29,258.143554
46,5,258.200508
45,6,258.271471
48,3,258.307447
37,14,258.471353
31,20,258.701221
44,7,258.786171
42,9,258.905106
48,3,258.945081
44,7,259.029049
50,1,259.041026
45,6,259.115982
46,5,259.175947
41,10,259.294878
47,4,259.34385
43,8,259.444792
49,2,259.46878
34,17,259.669662
49,2,259.696647
44,7,259.780597
49,2,259.804585
37,14,259.976485
45,6,260.051442
44,7,260.137392
49,2,260.161379
46,5,260.222345
43,8,260.318306
39,12,260.461224
-105,156,262.343139
38,13,262.497051
47,4,262.542007
46,5,262.597975
46,5,262.655941
47,4,262.702916
47,4,262.748887
38,13,262.908795
45,6,262.984751
43,8,263.080697
-30,81,264.043141
50,1,264.058133
48,3,264.100107
43,8,264.207047
50,1,264.220039
50,1,264.232031
37,14,264.399935
44,7,264.484886
41,10,264.60482
38,13,264.762727
36,15,264.950618
48,3,264.993593
47,4,265.041566
50,1,265.055559
46,5,265.11952
28,23,265.390364
42,9,265.508298
22,29,265.897072
50,1,265.911064
40,11,266.064975
41,10,266.217887
49,2,266.24987
45,6,266.33382
39,12,266.504722
49,2,266.533705
46,5,266.621655
27,24,266.977449
50,1,266.991442
39,12,267.14935
45,6,267.228305
-44,95,268.377642
50,1,268.390634
40,11,268.526556
43,8,268.620502
42,9,268.73044
47,4,268.780428
48,3,268.818388
48,3,268.856377
43,8,268.966304
47,4,269.016273
49,2,269.04126
50,1,269.053253
33,18,269.274126
50,1,269.286118
48,3,269.322099
46,5,269.377065
50,1,269.390059
-120,171,271.456885
32,19,271.682749
26,25,272.000553
49,2,272.029537
46,5,272.0925
48,3,272.134476
18,33,272.524252
49,2,272.54624
46,5,272.604205
46,5,272.663173
39,12,272.805089
50,1,272.818085
44,7,272.906034
49,2,272.934016
42,9,273.04397
41,10,273.166881
49,2,273.191885
34,17,273.389753
43,8,273.488696
45,6,273.562653
38,13,273.716564
50,1,273.732555
47,4,273.784525
40,11,273.922446
48,3,273.959426
32,19,274.19329
17,34,274.642031
42,9,274.751986
48,3,274.786948
43,8,274.896885
44,7,275.006822
50,1,275.021813
46,5,275.090772
38,13,275.253696
45,6,275.325637
-110,161,277.335478
48,3,277.372457
-111,162,279.310342
-25,76,280.22981
48,3,280.26479
48,3,280.301768
40,11,280.434692
48,3,280.469675
19,32,280.845455
-9,60,281.590025
48,3,281.631002
44,7,281.712954
48,3,281.750934
9,42,282.256643
47,4,282.311614
50,1,282.328603
46,5,282.390564
41,10,282.510496
47,4,282.558468
45,6,282.645417
48,3,282.685395
48,3,282.719375
36,15,282.896274
43,8,282.997215
50,1,283.011208
23,28,283.348012
38,13,283.50692
43,8,283.605865
49,2,283.630848
47,4,283.677822
42,9,283.784763
47,4,283.831733
42,9,283.956661
40,11,284.102577
48,3,284.137557
33,18,284.349434
28,23,284.615282
48,3,284.649263
40,11,284.781187
46,5,284.842151
43,8,284.940096
46,5,285.000061
45,6,285.075017
37,14,285.242923
33,18,285.456799
44,7,285.53775
49,2,285.561738
45,6,285.634695
50,1,285.647705
42,9,285.756627
43,8,285.854566
50,1,285.86656
49,2,285.892545
42,9,286.00448
47,4,286.053455
50,1,286.067445
45,6,286.140404
32,19,286.366274
33,18,286.585146
35,16,286.778035
39,12,286.92495
49,2,286.954933
48,3,286.991912
41,10,287.112844
50,1,287.125834
41,10,287.245765
46,5,287.30673
48,3,287.34371
44,7,287.428661
46,5,287.487627
45,6,287.560584
48,3,287.594583
47,4,287.646534
39,12,287.790452
42,9,287.891412
43,8,287.990355
39,12,288.137269
44,7,288.217217
38,13,288.37012
37,14,288.539019
43,8,288.638962
42,9,288.744903
45,6,288.81586
50,1,288.828854
41,10,288.952782
47,4,289.004751
41,10,289.130679
41,10,289.247612
48,3,289.28659
49,2,289.311574
21,30,289.674368
43,8,289.771316
36,15,289.949207
44,7,290.030161
42,9,290.137099
44,7,290.220051
33,18,290.435926
47,4,290.485898
40,11,290.616825
43,8,290.709772
45,6,290.78173
35,16,290.971618
19,32,291.354399
48,3,291.388377
49,2,291.414363
40,11,291.549287
46,5,291.61025
30,21,291.8701
45,6,291.952052
47,4,292.002023
24,27,292.329838
47,4,292.385804
44,7,292.471753
46,5,292.53472
45,6,292.610685
48,3,292.647651
50,1,292.660643
34,17,292.864526
43,8,292.968469
39,12,293.136371
41,10,293.271292
43,8,293.368236
50,1,293.382228
48,3,293.419206
50,1,293.432199
49,2,293.457185
49,2,293.48217
46,5,293.543135
48,3,293.580115
44,7,293.670065
-16,67,294.516586
46,5,294.574542
21,30,294.931337
35,16,295.134218
42,9,295.241156
48,3,295.276136
46,5,295.337101
30,21,295.610944
48,3,295.648921
21,30,296.060685
26,25,296.400488
47,4,296.455457
8,43,297.031125
42,9,297.158051
47,4,297.21202
47,4,297.263991
31,20,297.511866
27,24,297.799694
-3,54,298.440313
45,6,298.511271
19,32,298.889054
2,49,299.486708
44,7,299.568663
25,26,299.880482
25,26,300.201296
26,25,300.501127
46,5,300.560102
45,6,300.637046
49,2,300.665033
1,50,301.261687
45,6,301.34264
-10,61,302.063225
42,9,302.170162
31,20,302.415039
48,3,302.452998
43,8,302.550945
31,20,302.786806
36,15,302.978695
44,7,303.063646
43,8,303.163589
47,4,303.213561
48,3,303.249541
48,3,303.28552
38,13,303.441429
47,4,303.486403
50,1,303.499408
47,4,303.548367
24,27,303.87518
-32,83,304.872605
45,6,304.943565
41,10,305.066493
-20,71,305.910009
18,33,306.302781
47,4,306.351754
45,6,306.42672
24,27,306.747541
23,28,307.076334
1,50,307.663994
45,6,307.734966
12,39,308.194689
41,10,308.31362
50,1,308.328612
42,9,308.438566
49,2,308.464534
50,1,308.476528
40,11,308.606456
50,1,308.618444
44,7,308.705396
47,4,308.752367
42,9,308.858307
44,7,308.944257
46,5,309.005223
47,4,309.055192
26,25,309.353021
41,10,309.471954
48,3,309.513929
43,8,309.621867
21,30,309.989654
8,43,310.497362
41,10,310.631285
49,2,310.654271
44,7,310.740224
50,1,310.752216
49,2,310.7772
50,1,310.790193
47,4,310.842164
45,6,310.91812
45,6,310.991076
22,29,311.345873
48,3,311.390846
41,10,311.50678
49,2,311.532765
49,2,311.557751
21,30,311.917544
41,10,312.041471
46,5,312.103436
28,23,312.386291
48,3,312.422253
46,5,312.479223
45,6,312.549181
36,15,312.734072
50,1,312.746064
49,2,312.770052
39,12,312.91297
38,13,313.077874
47,4,313.126846
49,2,313.149833
40,11,313.290753
47,4,313.341723
50,1,313.354714
44,7,313.442663
49,2,313.465652
45,6,313.533611
42,9,313.642561
8,43,314.154253
48,3,314.189234
48,3,314.22921
45,6,314.303168
39,12,314.448084
48,3,314.483064
50,1,314.497059
2,49,315.081725
48,3,315.119701
41,10,315.237632
48,3,315.27261
38,13,315.42652
50,1,315.438513
43,8,315.541454
37,14,315.70536
45,6,315.778319
50,1,315.792309
44,7,315.884258
50,1,315.89725
18,33,316.29702
46,5,316.354986
43,8,316.447931
23,28,316.779741
48,3,316.820716
46,5,316.880683
-18,69,317.691214
23,28,318.033017
40,11,318.166952
24,27,318.490755
48,3,318.524736
44,7,318.608689
49,2,318.631674
47,4,318.677658
50,1,318.689641
11,40,319.15737
45,6,319.228328
44,7,319.314279
46,5,319.371246
48,3,319.406228
44,7,319.490178
41,10,319.607111
30,21,319.862964
49,2,319.88695
45,6,319.954914
47,4,320.006883
48,3,320.041861
49,2,320.064846
39,12,320.210781
46,5,320.27173
45,6,320.34269
41,10,320.456624
33,18,320.675494
42,9,320.789431
47,4,320.845414
44,7,320.931348
48,3,320.972325
45,6,321.048283
48,3,321.08527
39,12,321.233172
35,16,321.42906
47,4,321.478031
18,33,321.872822
45,6,321.945781
45,6,322.024716
50,1,322.038708
36,15,322.222606
43,8,322.322545
50,1,322.334538
22,29,322.693331
50,1,322.706323
48,3,322.744302
36,15,322.924197
44,7,323.011148
50,1,323.02514
41,10,323.14607
18,33,323.551838
34,17,323.754719
41,10,323.876649
49,2,323.901634
44,7,323.99558
49,2,324.019568
50,1,324.032559
47,4,324.082531
48,3,324.120509
38,13,324.27242
-171,222,327.080803
46,5,327.148763
38,13,327.319664
45,6,327.405617
49,2,327.431599
50,1,327.445592
45,6,327.515551
24,27,327.841363
50,1,327.855356
44,7,327.935309
34,17,328.14219
49,2,328.167179
48,3,328.204173
50,1,328.222145
48,3,328.26612
18,33,328.648898
-24,75,329.539385
45,6,329.611343
46,5,329.671309
35,16,329.869197
44,7,329.950148
