#{"t_start": 1595257204.4953346, "env_id": "NovelGridworld-v0"}
r,l,t
43,8,85.244863
45,6,85.29983
28,23,85.551685
45,6,85.609651
49,2,85.62864
39,12,85.745572
44,7,85.813533
46,5,85.861516
25,26,86.104365
47,4,86.143343
47,4,86.181321
50,1,86.191315
41,10,86.284261
38,13,86.414186
49,2,86.434175
35,16,86.594093
50,1,86.605077
48,3,86.63507
49,2,86.65306
50,1,86.661045
14,37,86.995851
25,26,87.233714
40,11,87.331659
43,8,87.410612
45,6,87.473591
21,30,87.754414
47,4,87.795393
41,10,87.889338
49,2,87.907326
49,2,87.925316
49,2,87.945304
48,3,87.973299
47,4,88.010266
42,9,88.095217
35,16,88.242132
32,19,88.415049
45,6,88.477996
47,4,88.520972
48,3,88.547956
35,16,88.700869
50,1,88.711862
42,9,88.799811
47,4,88.835793
4,47,89.268541
49,2,89.28753
46,5,89.333506
44,7,89.399465
45,6,89.459431
18,33,89.783246
47,4,89.820224
46,5,89.863198
23,28,90.131047
48,3,90.160028
42,9,90.264967
44,7,90.337924
48,3,90.366909
41,10,90.470851
45,6,90.535811
43,8,90.617763
50,1,90.626758
43,8,90.700716
47,4,90.741704
48,3,90.770675
47,4,90.810654
46,5,90.865636
45,6,90.923603
19,32,91.236407
25,26,91.501254
42,9,91.590204
24,27,91.874039
48,3,91.903023
44,7,91.971983
49,2,91.994971
-22,73,92.867467
48,3,92.89845
44,7,92.974405
44,7,93.052372
45,6,93.110328
48,3,93.138311
43,8,93.220264
45,6,93.29522
46,5,93.353188
45,6,93.417149
46,5,93.473118
20,31,93.78294
46,5,93.838906
37,14,93.990821
45,6,94.048787
42,9,94.148729
45,6,94.208693
47,4,94.255666
42,9,94.35361
50,1,94.363604
34,17,94.539502
42,9,94.622455
38,13,94.75638
44,7,94.824349
44,7,94.893298
43,8,94.972268
48,3,95.005234
48,3,95.03322
42,9,95.123167
37,14,95.251092
44,7,95.324051
43,8,95.400022
46,5,95.448978
47,4,95.506945
42,9,95.624877
49,2,95.654859
46,5,95.721821
48,3,95.751804
46,5,95.803775
47,4,95.843751
44,7,95.91571
33,18,96.090609
44,7,96.15757
30,21,96.360455
44,7,96.420419
44,7,96.494376
49,2,96.515379
49,2,96.53835
42,9,96.623317
45,6,96.67727
47,4,96.718251
44,7,96.78422
-9,60,97.350897
20,31,97.654717
46,5,97.70168
47,4,97.740657
49,2,97.759647
49,2,97.779635
-35,86,98.671121
49,2,98.693108
43,8,98.774077
26,25,99.00593
42,9,99.08988
46,5,99.133865
49,2,99.153842
46,5,99.201815
41,10,99.296761
46,5,99.345732
45,6,99.401699
48,3,99.429683
36,15,99.59659
39,12,99.713521
48,3,99.742503
49,2,99.76549
43,8,99.850442
49,2,99.868431
45,6,99.926398
48,3,99.957379
41,10,100.060338
49,2,100.081308
47,4,100.124283
41,10,100.221238
45,6,100.284191
48,3,100.312175
46,5,100.359159
41,10,100.454104
43,8,100.529065
44,7,100.597013
23,28,100.864858
48,3,100.894841
49,2,100.915827
49,2,100.938813
43,8,101.016768
-34,85,101.839294
44,7,101.906258
47,4,101.950246
46,5,102.002202
45,6,102.060178
48,3,102.08915
49,2,102.108151
47,4,102.147131
31,20,102.341005
31,20,102.536893
43,8,102.622843
7,44,103.035606
38,13,103.159535
41,10,103.248493
49,2,103.269486
-21,72,103.976078
50,1,103.98606
42,9,104.071008
49,2,104.088999
45,6,104.145965
-80,131,105.390258
49,2,105.412235
50,1,105.423228
-45,96,106.350693
48,3,106.381675
48,3,106.410659
26,25,106.649524
48,3,106.677507
48,3,106.710486
40,11,106.818424
46,5,106.864397
35,16,107.024306
44,7,107.088269
30,21,107.290154
5,46,107.722902
49,2,107.743902
49,2,107.764878
49,2,107.785867
46,5,107.83384
31,20,108.02573
25,26,108.263591
46,5,108.311574
22,29,108.592404
42,9,108.68235
48,3,108.714332
48,3,108.744315
27,24,108.966186
48,3,108.99618
49,2,109.01516
47,4,109.052152
29,22,109.251022
40,11,109.358959
47,4,109.399952
46,5,109.445909
41,10,109.546867
47,4,109.585829
48,3,109.616827
42,9,109.700774
41,10,109.797707
45,6,109.852677
49,2,109.871664
33,18,110.051563
44,7,110.114524
46,5,110.163497
50,1,110.17449
49,2,110.194478
45,6,110.255444
48,3,110.286425
37,14,110.424348
47,4,110.460325
47,4,110.5033
49,2,110.522289
47,4,110.560268
46,5,110.608242
49,2,110.625232
48,3,110.651226
46,5,110.696188
48,3,110.724175
47,4,110.761163
49,2,110.779141
45,6,110.832111
44,7,110.898073
19,32,111.207895
44,7,111.279854
41,10,111.378796
49,2,111.399784
44,7,111.466746
46,5,111.530709
45,6,111.593672
41,10,111.692615
42,9,111.782564
48,3,111.811546
50,1,111.822541
40,11,111.92548
47,4,111.965457
49,2,111.984447
47,4,112.027422
44,7,112.109377
31,20,112.337244
45,6,112.401206
26,25,112.694038
46,5,112.823963
49,2,112.866938
41,10,113.008856
41,10,113.135783
40,11,113.269706
31,20,113.495575
39,12,113.619503
41,10,113.727442
43,8,113.818389
1,50,114.308108
49,2,114.329095
47,4,114.372073
43,8,114.453025
27,24,114.699882
43,8,114.782844
30,21,114.992713
38,13,115.117655
42,9,115.220583
46,5,115.274552
44,7,115.34851
50,1,115.3595
47,4,115.39848
38,13,115.544394
50,1,115.557387
41,10,115.648335
46,5,115.699305
46,5,115.755274
50,1,115.768265
38,13,115.906187
38,13,116.03711
47,4,116.080085
43,8,116.162053
47,4,116.205013
40,11,116.311968
42,9,116.398904
49,2,116.416891
47,4,116.460868
48,3,116.499846
48,3,116.536822
50,1,116.547816
50,1,116.55781
50,1,116.569803
24,27,116.838648
41,10,116.941589
48,3,116.972571
43,8,117.052525
43,8,117.136477
46,5,117.18445
19,32,117.494272
33,18,117.663175
48,3,117.690161
47,4,117.737145
42,9,117.832075
38,13,118.012975
48,3,118.055947
42,9,118.161885
48,3,118.189869
25,26,118.454717
37,14,118.593636
47,4,118.63163
49,2,118.649607
47,4,118.684599
49,2,118.705582
47,4,118.745564
37,14,118.884469
48,3,118.911453
42,9,119.05737
17,34,119.415165
48,3,119.445149
45,6,119.500117
50,1,119.51011
45,6,119.581069
43,8,119.653025
46,5,119.698999
46,5,119.750969
44,7,119.81893
46,5,119.874903
45,6,119.943857
27,24,120.173728
46,5,120.2187
44,7,120.287661
50,1,120.299654
8,43,120.737402
48,3,120.767386
47,4,120.805362
47,4,120.845354
35,16,121.012242
42,9,121.097195
50,1,121.107187
41,10,121.205132
36,15,121.350047
47,4,121.387028
40,11,121.501962
50,1,121.511955
50,1,121.522948
47,4,121.565938
0,51,122.041664
49,2,122.059638
46,5,122.10761
33,18,122.289505
48,3,122.31649
44,7,122.382453
40,11,122.483396
47,4,122.521372
43,8,122.606326
50,1,122.616321
50,1,122.62831
46,5,122.676285
48,3,122.704267
43,8,122.779223
45,6,122.835193
19,32,123.14901
43,8,123.224977
40,11,123.331905
2,49,123.79164
48,3,123.822624
45,6,123.874592
40,11,123.979534
47,4,124.020525
49,2,124.038499
50,1,124.047493
49,2,124.065482
46,5,124.109456
44,7,124.172421
34,17,124.340323
32,19,124.510226
47,4,124.547206
48,3,124.582195
47,4,124.62316
49,2,124.645149
42,9,124.729115
44,7,124.797062
48,3,124.823047
46,5,124.868019
45,6,124.931982
44,7,125.000943
43,8,125.086893
42,9,125.173858
50,1,125.184837
50,1,125.193832
44,7,125.254796
48,3,125.287793
8,43,125.691544
48,3,125.718529
39,12,125.833474
46,5,125.881435
45,6,125.936404
45,6,125.994371
48,3,126.022354
45,6,126.079321
42,9,126.158291
49,2,126.175266
48,3,126.204251
50,1,126.213243
41,10,126.309188
46,5,126.360159
42,9,126.457103
44,7,126.522069
18,33,126.841881
44,7,126.910842
48,3,126.938826
47,4,126.972807
33,18,127.131728
50,1,127.140709
33,18,127.31361
29,22,127.525487
37,14,127.662409
47,4,127.702386
45,6,127.759353
43,8,127.840307
43,8,127.917261
47,4,127.955239
43,8,128.033206
42,9,128.120145
42,9,128.204107
31,20,128.391988
49,2,128.409978
48,3,128.437963
48,3,128.472957
35,16,128.629852
48,3,128.659833
45,6,128.716816
45,6,128.776767
48,3,128.80676
38,13,128.930679
48,3,128.958661
48,3,128.998639
45,6,129.069598
49,2,129.088587
46,5,129.135559
46,5,129.185531
45,6,129.23951
44,7,129.302478
45,6,129.357447
48,3,129.384417
50,1,129.394409
49,2,129.412399
36,15,129.548322
43,8,129.626279
36,15,129.7572
35,16,129.900119
40,11,129.998063
44,7,130.065023
43,8,130.144977
47,4,130.180967
45,6,130.234926
50,1,130.244923
44,7,130.308883
45,6,130.363851
45,6,130.419819
39,12,130.533754
50,1,130.544748
40,11,130.661681
48,3,130.689666
29,22,130.891547
42,9,130.980497
32,19,131.162406
50,1,131.1734
47,4,131.209374
42,9,131.288318
47,4,131.331294
33,18,131.502195
32,19,131.683093
43,8,131.757048
44,7,131.818013
49,2,131.839001
50,1,131.849994
49,2,131.869984
12,39,132.246766
48,3,132.275749
46,5,132.327719
27,24,132.548592
47,4,132.588569
42,9,132.670523
45,6,132.733485
42,9,132.819435
49,2,132.839424
49,2,132.86341
50,1,132.872406
46,5,132.91538
-42,93,133.782892
41,10,133.87183
45,6,133.928799
50,1,133.937791
28,23,134.151679
46,5,134.197644
39,12,134.310576
46,5,134.362557
47,4,134.403525
46,5,134.452509
50,1,134.461492
42,9,134.542453
41,10,134.641385
49,2,134.658377
50,1,134.66837
45,6,134.72234
48,3,134.750323
37,14,134.887244
49,2,134.907233
42,9,134.991194
43,8,135.071149
50,1,135.083142
30,21,135.285014
42,9,135.371965
44,7,135.439936
38,13,135.563854
43,8,135.639811
40,11,135.748748
42,9,135.835697
42,9,135.925661
49,2,135.944634
44,7,136.008599
48,3,136.034585
50,1,136.044592
