#{"t_start": 1594814445.9498682, "env_id": "NovelGridworld-v0"}
r,l,t
36,15,166.782241
-30,81,168.200437
43,8,168.344371
30,21,168.714147
-43,94,170.367208
29,22,170.766996
42,9,170.918894
50,1,170.936899
46,5,171.030832
50,1,171.051819
42,9,171.217726
46,5,171.305676
47,4,171.377635
48,3,171.432603
48,3,171.486574
49,2,171.525551
44,7,171.655476
42,9,171.82438
45,6,171.938318
39,12,172.187176
15,36,172.882779
39,12,173.091662
49,2,173.137634
45,6,173.260566
47,4,173.338522
39,12,173.616363
-58,109,175.664201
40,11,175.86209
47,4,175.944044
50,1,175.962031
45,6,176.066987
49,2,176.104966
42,9,176.266859
46,5,176.355824
45,6,176.460749
45,6,176.566704
49,2,176.602668
16,35,177.222316
-358,409,184.375256
-17,68,185.586569
-517,568,195.592891
47,4,195.668862
47,4,195.752799
44,7,195.880726
50,1,195.900715
49,2,195.935696
49,2,195.970677
45,6,196.076615
43,8,196.214536
47,4,196.282501
-486,537,206.503713
46,5,206.600642
43,8,206.777543
32,19,207.126345
49,2,207.159328
49,2,207.197304
50,1,207.214296
45,6,207.341222
49,2,207.392194
46,5,207.493137
44,7,207.623061
48,3,207.685029
-78,129,210.070675
46,5,210.159632
45,6,210.269559
47,4,210.344525
46,5,210.435466
46,5,210.522429
49,2,210.555413
48,3,210.606384
-36,87,212.177493
48,3,212.234444
46,5,212.328394
50,1,212.345381
36,15,212.609233
50,1,212.628221
-13,64,213.798557
46,5,213.910494
49,2,213.950471
44,7,214.081396
46,5,214.185336
36,15,214.482168
40,11,214.700045
49,2,214.758013
43,8,214.900934
48,3,214.951918
46,5,215.039864
2,49,215.949338
48,3,216.002306
47,4,216.074266
42,9,216.233178
39,12,216.447053
47,4,216.520024
49,2,216.55799
11,40,217.315562
48,3,217.372544
42,9,217.543432
49,2,217.581411
44,7,217.724329
48,3,217.798287
42,9,217.998173
46,5,218.107111
42,9,218.304
35,16,218.663797
41,10,218.961627
46,5,219.13253
43,8,219.445352
49,2,219.495323
47,4,219.599266
46,5,219.7172
3,48,220.905523
43,8,221.113406
46,5,221.321286
48,3,221.404241
48,3,221.466204
46,5,221.584139
43,8,221.783027
40,11,222.054871
40,11,222.283741
44,7,222.445651
47,4,222.526603
45,6,222.644537
46,5,222.732488
44,7,222.873407
45,6,222.98436
48,3,223.037313
41,10,223.213229
49,2,223.248204
45,6,223.353149
42,9,223.508061
38,13,223.741913
41,10,223.936804
16,35,224.54947
41,10,224.725355
50,1,224.743345
45,6,224.85928
-104,155,227.603737
50,1,227.620727
43,8,227.771627
49,2,227.804608
49,2,227.843587
38,13,228.065461
38,13,228.314321
44,7,228.433266
16,35,229.061905
46,5,229.144862
45,6,229.247788
49,2,229.284783
43,8,229.426686
44,7,229.548619
38,13,229.785484
48,3,229.850446
50,1,229.873433
40,11,230.084314
45,6,230.186258
38,13,230.445111
45,6,230.557046
48,3,230.608017
41,10,230.786916
40,11,230.9898
43,8,231.128736
48,3,231.182693
50,1,231.200695
46,5,231.295625
49,2,231.332605
45,6,231.442544
47,4,231.510504
38,13,231.741373
45,6,231.849315
47,4,231.925284
46,5,232.017218
50,1,232.037205
49,2,232.075186
47,4,232.149143
32,19,232.48695
46,5,232.573916
47,4,232.64486
46,5,232.730812
46,5,232.818763
-32,83,234.31193
46,5,234.401865
50,1,234.424853
36,15,234.695697
47,4,234.772655
42,9,234.950552
50,1,234.97154
47,4,235.046498
45,6,235.14844
47,4,235.219415
47,4,235.300353
49,2,235.334333
47,4,235.406304
42,9,235.560205
47,4,235.643159
48,3,235.704126
48,3,235.760108
12,39,236.64459
49,2,236.688565
48,3,236.754528
43,8,236.92943
50,1,236.954415
46,5,237.060354
27,24,237.75696
9,42,238.88366
46,5,238.997658
44,7,239.152693
46,5,239.304278
39,12,239.635089
43,8,239.887948
47,4,240.016843
39,12,240.388631
47,4,240.497568
38,13,240.866933
31,20,241.393908
50,1,241.413896
37,14,241.686321
47,4,241.775271
39,12,242.042119
45,6,242.159053
49,2,242.199029
38,13,242.520853
49,2,242.592813
50,1,242.630793
49,2,242.709447
47,4,242.870349
42,9,243.225156
38,13,243.717942
-46,97,247.630998
45,6,247.848874
40,11,248.27663
48,3,248.389565
47,4,248.536485
48,3,248.65042
36,15,249.234088
33,18,249.913703
41,10,250.312477
48,3,250.431412
44,7,250.684267
50,1,250.725244
36,15,251.292921
38,13,251.817621
44,7,252.080472
39,12,252.525217
43,8,252.833049
48,3,252.966489
41,10,253.377261
48,3,253.491196
43,8,253.807018
43,8,254.166268
50,1,254.201245
41,10,254.589025
45,6,254.807917
29,22,255.632751
50,1,255.675717
50,1,255.730698
45,6,255.936119
49,2,256.015075
41,10,256.351188
44,7,256.57655
41,10,256.91037
47,4,257.042292
37,14,257.365108
44,7,257.503846
47,4,257.594794
46,5,257.702731
50,1,257.729715
48,3,257.795679
47,4,257.883628
44,7,258.048535
45,6,258.158474
39,12,258.389356
46,5,258.48029
36,15,258.765127
48,3,258.824096
38,13,259.073562
46,5,259.164496
47,4,259.237452
48,3,259.297421
47,4,259.380372
42,9,259.573263
37,14,259.832116
49,2,259.874091
45,6,259.989029
46,5,260.082981
50,1,260.102969
42,9,260.267891
47,4,260.348632
42,9,260.540523
47,4,260.611482
49,2,260.65046
44,7,260.781401
35,16,261.07322
39,12,261.297108
45,6,261.411045
45,6,261.517984
46,5,261.615668
48,3,261.673651
50,1,261.691626
38,13,261.924495
48,3,261.979461
33,18,262.306292
47,4,262.376238
47,4,262.448198
45,6,262.561131
50,1,262.579123
40,11,262.775012
45,6,262.880958
47,4,262.95092
47,4,263.031434
40,11,263.22134
41,10,263.40722
47,4,263.480195
43,8,263.629096
45,6,263.739031
47,4,263.818985
35,16,264.115384
48,3,264.170356
16,35,264.801003
39,12,265.017486
49,2,265.054466
50,1,265.072455
40,11,265.281352
43,8,265.43225
45,6,265.539189
41,10,265.7231
47,4,265.799045
45,6,265.91101
48,3,265.963979
50,1,265.981616
46,5,266.078551
39,12,266.305421
44,7,266.426353
45,6,266.531296
46,5,266.619243
47,4,266.696198
48,3,266.755166
48,3,266.811136
48,3,266.872114
44,7,267.005039
44,7,267.136034
44,7,267.265953
45,6,267.37403
31,20,267.741443
46,5,267.8334
50,1,267.85338
45,6,267.966316
45,6,268.085251
50,1,268.106233
43,8,268.25515
50,1,268.275138
36,15,268.548983
45,6,268.65883
47,4,268.730378
45,6,268.86032
35,16,269.160152
49,2,269.19613
49,2,269.233109
49,2,269.272087
48,3,269.328055
45,6,269.43661
44,7,269.567538
46,5,269.653487
46,5,269.747433
44,7,269.872363
48,3,269.929331
44,7,270.063254
40,11,270.271152
48,3,270.331103
43,8,270.472628
41,10,270.655507
49,2,270.691487
48,3,270.745456
42,9,270.905381
48,3,270.957352
48,3,271.018304
46,5,271.111251
40,11,271.314137
45,6,271.42607
49,2,271.461051
31,20,271.826559
35,16,272.126373
46,5,272.217322
47,4,272.295277
50,1,272.315282
47,4,272.38824
44,7,272.514164
41,10,272.695683
41,10,272.889562
42,9,273.062479
46,5,273.151415
49,2,273.187409
47,4,273.258352
45,6,273.371288
47,4,273.443247
43,8,273.590166
49,2,273.627144
34,17,273.944581
48,3,273.999549
44,7,274.134475
50,1,274.154461
38,13,274.386329
49,2,274.422312
44,7,274.550236
46,5,274.645184
49,2,274.682177
46,5,274.78413
45,6,274.888081
41,10,275.070779
43,8,275.210701
42,9,275.369625
47,4,275.439571
49,2,275.473553
49,2,275.510545
41,10,275.687429
45,6,275.804364
46,5,275.901311
46,5,275.996262
44,7,276.130178
42,9,276.294086
41,10,276.483814
49,2,276.51878
41,10,276.704688
47,4,276.783628
48,3,276.839596
41,10,277.031487
45,6,277.145422
44,7,277.271353
49,2,277.310331
43,8,277.451251
44,7,277.578177
42,9,277.745083
44,7,277.879036
29,22,278.293364
48,3,278.347334
44,7,278.478258
45,6,278.581202
49,2,278.620178
46,5,278.709126
48,3,278.769109
47,4,278.844062
48,3,278.90004
42,9,279.070511
48,3,279.123492
48,3,279.178448
39,12,279.39634
39,12,279.610203
47,4,279.684163
49,2,279.723139
46,5,279.819086
37,14,280.080531
46,5,280.16647
40,11,280.373349
44,7,280.500281
44,7,280.643199
49,2,280.680175
37,14,280.939849
50,1,280.957836
43,8,281.116746
42,9,281.283667
48,3,281.338622
50,1,281.355627
40,11,281.556497
32,19,281.899319
48,3,281.952288
39,12,282.176793
47,4,282.252735
46,5,282.340684
46,5,282.432634
43,8,282.582563
19,32,283.169215
45,6,283.275155
50,1,283.292144
47,4,283.370138
47,4,283.438084
44,7,283.569023
49,2,283.606006
39,12,283.831884
47,4,283.905842
47,4,283.978676
49,2,284.015655
40,11,284.220736
30,21,284.603425
46,5,284.69369
48,3,284.752656
46,5,284.847311
50,1,284.8663
50,1,284.885274
45,6,284.994212
27,24,285.463449
46,5,285.558412
45,6,285.667336
48,3,285.721303
46,5,285.817264
45,6,285.923189
49,2,285.960167
37,14,286.20905
50,1,286.228023
41,10,286.400736
46,5,286.491685
47,4,286.565645
45,6,286.674581
49,2,286.708561
38,13,286.943429
48,3,286.995399
50,1,287.013388
41,10,287.220541
47,4,287.2915
48,3,287.34547
50,1,287.36346
30,21,287.730251
47,4,287.802209
12,39,288.499312
50,1,288.519284
45,6,288.634219
31,20,288.997422
49,2,289.037398
50,1,289.058385
48,3,289.117352
40,11,289.321238
43,8,289.467155
42,9,289.632715
48,3,289.686681
32,19,290.012511
42,9,290.186398
46,5,290.280346
42,9,290.447251
48,3,290.501221
44,7,290.626148
49,2,290.661127
47,4,290.738109
46,5,290.828688
37,14,291.085541
40,11,291.28243
42,9,291.440351
47,4,291.509302
50,1,291.52829
49,2,291.56528
47,4,291.64424
46,5,291.741178
36,15,292.021023
50,1,292.045024
39,12,292.270194
49,2,292.308173
39,12,292.527442
44,7,292.660368
40,11,292.868247
47,4,292.936211
47,4,293.009709
36,15,293.287566
33,18,293.603373
47,4,293.676329
41,10,293.875218
44,7,294.00105
42,9,294.182682
47,4,294.252642
44,7,294.375568
38,13,294.60043
31,20,294.962225
33,18,295.291906
44,7,295.415838
45,6,295.524788
46,5,295.619719
49,2,295.657709
35,16,295.946545
38,13,296.188397
50,1,296.209384
46,5,296.305331
48,3,296.357303
44,7,296.480233
43,8,296.625254
48,3,296.681223
45,6,296.788177
50,1,296.807152
42,9,296.978023
42,9,297.146927
49,2,297.181499
42,9,297.351417
49,2,297.386383
40,11,297.597276
50,1,297.617261
46,5,297.7072
39,12,297.931668
43,8,298.083583
43,8,298.236496
49,2,298.27947
37,14,298.52834
48,3,298.585299
43,8,298.725217
37,14,298.979073
49,2,299.017055
43,8,299.17099
42,9,299.332584
41,10,299.513481
48,3,299.570449
48,3,299.624405
47,4,299.699363
41,10,299.886257
35,16,300.182544
48,3,300.235515
45,6,300.346451
49,2,300.38443
46,5,300.476377
47,4,300.550335
46,5,300.647284
29,22,301.057956
46,5,301.153898
46,5,301.245833
43,8,301.380766
47,4,301.450716
46,5,301.541675
45,6,301.650601
43,8,301.800517
41,10,301.97843
46,5,302.069366
50,1,302.087369
44,7,302.217281
37,14,302.472137
40,11,302.669479
50,1,302.69147
46,5,302.791409
50,1,302.8104
29,22,303.210172
43,8,303.361667
47,4,303.435624
49,2,303.470604
50,1,303.488595
45,6,303.598533
43,8,303.748446
42,9,303.911354
49,2,303.947335
43,8,304.091252
41,10,304.268348
46,5,304.357298
43,8,304.50012
43,8,304.651586
50,1,304.674589
45,6,304.780517
44,7,304.90944
41,10,305.092335
48,3,305.144306
50,1,305.165299
49,2,305.203272
41,10,305.390167
44,7,305.515658
43,8,305.657576
50,1,305.675577
48,3,305.730534
41,10,305.920427
30,21,306.317213
45,6,306.422149
49,2,306.460143
48,3,306.515692
50,1,306.537668
50,1,306.560669
50,1,306.584648
49,2,306.627614
49,2,306.66859
50,1,306.686579
50,1,306.705581
36,15,306.979413
45,6,307.093349
47,4,307.168307
45,6,307.278695
46,5,307.382636
50,1,307.402623
47,4,307.472584
41,10,307.65348
48,3,307.707451
47,4,307.787408
47,4,307.862364
50,1,307.883352
49,2,307.92033
38,13,308.156741
48,3,308.213723
48,3,308.27169
49,2,308.308667
47,4,308.376616
50,1,308.395602
46,5,308.482568
47,4,308.551516
50,1,308.570503
40,11,308.762396
43,8,308.905313
41,10,309.090215
49,2,309.126197
34,17,309.433464
41,10,309.621358
44,7,309.752283
24,27,310.247627
38,13,310.483508
34,17,310.796332
48,3,310.849284
49,2,310.888265
46,5,310.980804
37,14,311.248639
44,7,311.37558
45,6,311.481505
44,7,311.607433
41,10,311.799324
45,6,311.904275
46,5,311.998766
50,1,312.016742
40,11,312.218627
50,1,312.241613
48,3,312.297583
50,1,312.319568
46,5,312.412516
41,10,312.590416
48,3,312.646385
41,10,312.834276
41,10,313.01173
26,25,313.480465
33,18,313.795288
47,4,313.869245
49,2,313.904556
36,15,314.200387
34,17,314.510226
47,4,314.583719
48,3,314.635691
46,5,314.728638
40,11,314.935531
49,2,314.970514
49,2,315.007478
40,11,315.218359
46,5,315.307308
37,14,315.556811
48,3,315.609778
27,24,316.04853
40,11,316.254414
37,14,316.51383
39,12,316.735718
45,6,316.841642
41,10,317.022541
48,3,317.083505
47,4,317.159462
49,2,317.203438
44,7,317.326367
48,3,317.380337
48,3,317.43832
42,9,317.606209
45,6,317.724141
22,29,318.28183
39,12,318.537686
49,2,318.593654
40,11,318.889485
48,3,318.945465
27,24,319.387174
48,3,319.440145
35,16,319.733532
48,3,319.792498
40,11,319.994383
36,15,320.272237
46,5,320.363184
43,8,320.518857
41,10,320.712731
46,5,320.818671
44,7,320.939602
38,13,321.180482
48,3,321.236434
33,18,321.566807
47,4,321.641764
43,8,321.799689
39,12,322.019551
41,10,322.201456
44,7,322.342365
50,1,322.364362
45,6,322.474945
49,2,322.513923
46,5,322.609853
43,8,322.760772
44,7,322.888696
44,7,323.011628
43,8,323.155545
43,8,323.303459
34,17,323.60831
48,3,323.661276
39,12,323.887847
45,6,323.999782
40,11,324.19967
45,6,324.314619
43,8,324.458522
42,9,324.624428
46,5,324.719374
27,24,325.191812
47,4,325.270753
42,9,325.446652
48,3,325.499623
22,29,326.072297
40,11,326.269858
47,4,326.347823
46,5,326.439759
39,12,326.653638
35,16,326.943485
48,3,326.999441
49,2,327.040419
47,4,327.115377
49,2,327.152371
35,16,327.437034
47,4,327.503993
41,10,327.690887
45,6,327.802827
-4,55,328.922946
45,6,329.053872
47,4,329.136824
40,11,329.376691
40,11,329.607558
40,11,329.824434
49,2,329.859414
42,9,330.021323
39,12,330.253222
45,6,330.386159
40,11,330.59905
45,6,330.704995
43,8,330.862628
47,4,330.936572
48,3,330.99054
49,2,331.028534
38,13,331.265412
45,6,331.386927
48,3,331.438896
50,1,331.456887
42,9,331.62679
45,6,331.748735
45,6,331.862657
42,9,332.031575
43,8,332.187486
31,20,332.550034
37,14,332.804904
40,11,333.007775
44,7,333.140698
48,3,333.192669
42,9,333.362588
43,8,333.501497
44,7,333.630436
46,5,333.725366
46,5,333.820314
36,15,334.100976
49,2,334.140967
48,3,334.196934
50,1,334.215911
47,4,334.29588
49,2,334.334852
46,5,334.426805
40,11,334.622679
41,10,334.81657
48,3,334.870537
50,1,334.892524
45,6,335.005478
50,1,335.027449
45,6,335.141384
40,11,335.343427
49,2,335.378407
48,3,335.433389
40,11,335.646792
47,4,335.719767
41,10,335.902663
47,4,335.97862
41,10,336.1615
49,2,336.199479
39,12,336.423352
47,4,336.496218
48,3,336.554175
44,7,336.678364
49,2,336.714341
47,4,336.793297
41,10,336.981491
48,3,337.031465
43,8,337.17636
44,7,337.30836
47,4,337.38131
47,4,337.45027
47,4,337.523845
49,2,337.559824
46,5,337.650788
47,4,337.723732
40,11,337.925618
49,2,337.962595
46,5,338.048547
40,11,338.24745
50,1,338.270432
48,3,338.331402
30,21,338.714675
36,15,338.98752
42,9,339.160423
50,1,339.180426
48,3,339.231397
47,4,339.299359
50,1,339.318333
50,1,339.339321
43,8,339.488271
43,8,339.638175
48,3,339.691239
43,8,339.84385
36,15,340.116697
47,4,340.189669
45,6,340.305591
44,7,340.428534
48,3,340.484486
41,10,340.665423
50,1,340.684396
40,11,340.887306
45,6,340.996234
49,2,341.03123
44,7,341.163181
45,6,341.273555
40,11,341.483452
46,5,341.575177
40,11,341.78506
44,7,341.945965
40,11,342.155862
42,9,342.327751
35,16,342.637573
48,3,342.697541
48,3,342.761505
39,12,343.009675
47,4,343.098623
39,12,343.319499
44,7,343.451425
48,3,343.507393
49,2,343.550382
37,14,343.810848
36,15,344.085695
50,1,344.103682
47,4,344.173642
41,10,344.359547
27,24,344.788348
47,4,344.860879
49,2,344.896847
40,11,345.103731
22,29,345.623437
34,17,345.926381
42,9,346.093278
44,7,346.215573
43,8,346.369488
37,14,346.63435
36,15,346.903004
46,5,346.999964
48,3,347.054918
44,7,347.181847
41,10,347.360747
40,11,347.564643
38,13,347.804492
49,2,347.843471
48,3,347.899439
49,2,347.942415
41,10,348.125968
50,1,348.143958
38,13,348.374825
45,6,348.483766
49,2,348.524742
38,13,348.771601
42,9,348.931525
45,6,349.040469
47,4,349.129399
41,10,349.310863
46,5,349.405811
49,2,349.441788
46,5,349.530737
47,4,349.600698
22,29,350.119404
50,1,350.138393
48,3,350.190363
46,5,350.280318
46,5,350.372848
50,1,350.393834
50,1,350.414822
42,9,350.577725
50,1,350.595704
42,9,350.754629
49,2,350.793592
43,8,350.935513
37,14,351.192118
42,9,351.352029
44,7,351.483952
48,3,351.542921
41,10,351.716823
45,6,351.82676
37,14,352.079616
48,3,352.134583
46,5,352.226532
44,7,352.356473
41,10,352.538354
46,5,352.632321
46,5,352.725265
48,3,352.783241
43,8,352.938707
41,10,353.126595
41,10,353.309481
44,7,353.44504
36,15,353.711889
45,6,353.824841
35,16,354.117661
39,12,354.329554
47,4,354.404496
45,6,354.514436
45,6,354.626229
47,4,354.698264
40,11,354.89563
35,16,355.194459
33,18,355.525284
49,2,355.561377
35,16,355.866491
41,10,356.041997
50,1,356.06197
47,4,356.132945
37,14,356.393781
48,3,356.450749
42,9,356.615671
42,9,356.78256
43,8,356.928479
45,6,357.035419
40,11,357.246091
46,5,357.335026
42,9,357.501932
49,2,357.53591
43,8,357.679828
49,2,357.717807
48,3,357.778784
35,16,358.072607
41,10,358.244509
49,2,358.282489
37,14,358.532909
47,4,358.607849
33,18,358.93966
46,5,359.028625
46,5,359.129552
31,20,359.488182
47,4,359.560141
39,12,359.785013
34,17,360.102835
45,6,360.208773
46,5,360.296725
41,10,360.483632
48,3,360.542583
44,7,360.677137
41,10,360.86703
46,5,360.95298
38,13,361.191843
36,15,361.46069
43,8,361.606624
49,2,361.642603
42,9,361.806494
44,7,361.932763
47,4,362.003714
50,1,362.022717
46,5,362.119663
37,14,362.374517
42,9,362.53941
47,4,362.612405
48,3,362.664358
50,1,362.684363
48,3,362.740314
46,5,362.836016
36,15,363.131832
50,1,363.150824
44,7,363.279764
50,1,363.300738
37,14,363.560591
44,7,363.686517
45,6,363.80046
50,1,363.822462
50,1,363.84345
41,10,364.02002
32,19,364.373804
45,6,364.482742
45,6,364.591682
48,3,364.644665
50,1,364.664641
47,4,364.734598
40,11,364.934501
50,1,364.952477
44,7,365.084421
45,6,365.195609
40,11,365.395611
45,6,365.508531
47,4,365.580494
36,15,365.852876
48,3,365.905845
47,4,365.980801
42,9,366.14972
45,6,366.260658
42,9,366.429547
37,14,366.685982
46,5,366.776931
44,7,366.905857
45,6,367.016793
46,5,367.114749
44,7,367.245665
49,2,367.284654
47,4,367.367597
50,1,367.389593
43,8,367.538499
47,4,367.60746
47,4,367.683776
46,5,367.777722
48,3,367.833687
47,4,367.907634
50,1,367.925623
47,4,368.006592
48,3,368.059546
44,7,368.181485
44,7,368.316963
46,5,368.417905
48,3,368.483868
35,16,368.820676
50,1,368.846659
43,8,369.010567
43,8,369.191466
47,4,369.276802
34,17,369.601633
41,10,369.79251
45,6,369.90746
48,3,369.961139
50,1,369.983126
48,3,370.041093
42,9,370.204001
49,2,370.246992
40,11,370.455858
50,1,370.478845
50,1,370.498833
38,13,370.747692
41,10,370.989556
49,2,371.059515
47,4,371.163456
45,6,371.315371
45,6,371.480994
41,10,371.775817
49,2,371.835783
46,5,371.958713
45,6,372.104631
48,3,372.174592
50,1,372.198578
48,3,372.271537
45,6,372.41588
38,13,372.688726
48,3,372.746696
44,7,372.875622
48,3,372.934587
40,11,373.153463
44,7,373.283213
50,1,373.305185
45,6,373.42312
42,9,373.595022
44,7,373.721964
43,8,373.865867
40,11,374.065755
42,9,374.257645
44,7,374.387571
45,6,374.493265
38,13,374.735143
46,5,374.834073
45,6,374.947007
47,4,375.020982
47,4,375.109931
38,13,375.339796
37,14,375.586648
50,1,375.604637
43,8,375.74657
36,15,376.019542
48,3,376.075528
38,13,376.330893
39,12,376.562762
33,18,376.899571
42,9,377.061761
37,14,377.326595
42,9,377.487519
47,4,377.567193
47,4,377.640138
39,12,377.855016
