#{"t_start": 1595252445.9527411, "env_id": "NovelGridworld-v0"}
r,l,t
49,2,68.099746
49,2,68.113735
7,44,68.411565
48,3,68.432553
50,1,68.440546
37,14,68.544488
46,5,68.578466
48,3,68.597458
45,6,68.638435
49,2,68.651425
50,1,68.658422
45,6,68.697398
43,8,68.751369
44,7,68.798342
50,1,68.805338
48,3,68.826324
38,13,68.928267
49,2,68.943258
38,13,69.037202
48,3,69.058192
28,23,69.207104
47,4,69.23309
39,12,69.309046
47,4,69.338029
46,5,69.372011
43,8,69.424982
41,10,69.49294
12,39,69.746793
45,6,69.782773
46,5,69.817753
43,8,69.872721
50,1,69.879718
48,3,69.897708
49,2,69.9117
-14,65,70.32746
46,5,70.360442
48,3,70.381428
50,1,70.388425
40,11,70.458384
29,22,70.614293
50,1,70.623288
48,3,70.647275
39,12,70.735224
49,2,70.751214
47,4,70.781198
47,4,70.811182
46,5,70.850159
48,3,70.874145
46,5,70.912124
49,2,70.928112
-39,90,71.589731
37,14,71.688674
27,24,71.865572
41,10,71.955521
45,6,71.998496
39,12,72.084447
44,7,72.131419
43,8,72.181391
45,6,72.220368
50,1,72.226364
47,4,72.253351
45,6,72.294326
44,7,72.342297
50,1,72.349293
44,7,72.39327
43,8,72.443241
39,12,72.52919
33,18,72.645122
49,2,72.659117
48,3,72.679102
47,4,72.708086
26,25,72.870992
34,17,72.986941
47,4,73.014909
50,1,73.023907
49,2,73.036899
42,9,73.096866
44,7,73.142851
46,5,73.178817
48,3,73.199805
44,7,73.246778
49,2,73.259771
45,6,73.300745
40,11,73.372704
48,3,73.390692
45,6,73.429671
45,6,73.470647
49,2,73.485638
40,11,73.560597
48,3,73.580583
49,2,73.593576
25,26,73.765478
44,7,73.810454
23,28,73.997345
36,15,74.112278
47,4,74.140261
49,2,74.153253
49,2,74.166247
50,1,74.173242
42,9,74.233207
5,46,74.543029
19,32,74.745912
50,1,74.75291
46,5,74.78589
49,2,74.798881
42,9,74.856848
50,1,74.863843
36,15,74.966786
41,10,75.034745
50,1,75.04374
47,4,75.069726
36,15,75.165671
38,13,75.25262
43,8,75.30459
41,10,75.367553
44,7,75.410531
47,4,75.438515
47,4,75.464497
50,1,75.471496
47,4,75.502478
43,8,75.555448
47,4,75.58143
44,7,75.627408
48,3,75.647393
49,2,75.662383
42,9,75.72235
46,5,75.754331
47,4,75.781315
38,13,75.867268
