#{"t_start": 1595250405.177114, "env_id": "NovelGridworld-v0"}
r,l,t
39,12,151.245812
47,4,151.279796
35,16,151.418714
48,3,151.444699
49,2,151.460689
47,4,151.495669
40,11,151.589626
40,11,151.684561
48,3,151.71156
45,6,151.763514
48,3,151.788502
50,1,151.797495
-8,59,152.300205
46,5,152.345179
43,8,152.41314
48,3,152.441123
47,4,152.475104
48,3,152.50009
-32,83,153.212679
46,5,153.253655
45,6,153.311621
48,3,153.336607
50,1,153.345602
48,3,153.369588
46,5,153.411564
44,7,153.469531
-172,223,155.345449
50,1,155.353445
47,4,155.389424
-178,229,157.321311
36,15,157.444255
28,23,157.636129
47,4,157.671109
-43,94,158.469651
48,3,158.496644
50,1,158.504631
-54,105,159.4211
42,9,159.496056
49,2,159.514046
46,5,159.555023
-155,206,161.265037
40,11,161.361981
-13,64,161.951642
35,16,162.106555
-24,75,162.801151
45,6,162.850123
-442,493,167.003728
49,2,167.02072
19,32,167.290563
50,1,167.299558
-93,144,168.500867
39,12,168.600809
45,6,168.65279
50,1,168.662773
-16,67,169.23246
47,4,169.266425
49,2,169.287413
46,5,169.341384
50,1,169.352375
35,16,169.484299
40,11,169.578247
44,7,169.64122
47,4,169.680197
47,4,169.713169
49,2,169.731173
48,3,169.759141
48,3,169.784137
-395,446,173.78882
43,8,173.856789
-405,456,177.673579
40,11,177.771522
-637,688,183.684114
42,9,183.766067
48,3,183.795049
50,1,183.805045
47,4,183.845021
50,1,183.856014
36,15,183.992937
49,2,184.027915
49,2,184.0539
2,49,184.511636
47,4,184.545616
46,5,184.587606
-112,163,186.037759
49,2,186.054762
48,3,186.081731
47,4,186.116713
24,27,186.367567
46,5,186.410542
50,1,186.420537
24,27,186.654402
38,13,186.77833
-28,79,187.510908
-58,109,188.451365
41,10,188.539315
20,31,188.80716
44,7,188.867127
43,8,188.936086
48,3,188.96507
49,2,188.986058
47,4,189.022037
47,4,189.055017
48,3,189.079004
42,9,189.151962
-474,525,193.896227
37,14,194.020155
41,10,194.111102
42,9,194.186059
-24,75,194.889654
50,1,194.899647
-15,66,195.465322
19,32,195.743178
-28,79,196.437761
47,4,196.471742
50,1,196.481737
48,3,196.508721
49,2,196.527711
-266,317,199.549968
48,3,199.577951
49,2,199.595942
-39,90,200.394481
50,1,200.406474
49,2,200.433458
-38,89,201.238993
47,4,201.273974
-530,581,206.456987
41,10,206.544936
50,1,206.552931
-175,226,208.611744
50,1,208.623736
48,3,208.65272
50,1,208.662715
46,5,208.712686
48,3,208.740669
28,23,209.027508
50,1,209.037498
45,6,209.096464
47,4,209.135443
39,12,209.252375
50,1,209.262369
48,3,209.294351
38,13,209.436269
44,7,209.517222
45,6,209.577188
50,1,209.586182
45,6,209.64215
48,3,209.668135
47,4,209.706112
-445,496,214.199523
-53,104,215.255913
48,3,215.282898
44,7,215.339865
19,32,215.636694
46,5,215.679685
20,31,215.962507
5,46,216.435234
-43,94,217.367697
-164,215,219.401524
-107,158,220.872676
45,6,220.924645
50,1,220.934639
43,8,221.005615
-18,69,221.643232
45,6,221.704196
49,2,221.724185
-201,252,224.051843
35,16,224.197759
38,13,224.314703
15,36,224.637505
32,19,224.804411
48,3,224.828397
34,17,224.97631
38,13,225.088246
29,22,225.27214
42,9,225.365086
-262,313,228.160475
-130,181,229.767549
49,2,229.786537
48,3,229.813523
41,10,229.901482
34,17,230.049386
47,4,230.087364
40,11,230.187307
49,2,230.208296
28,23,230.423172
43,8,230.497128
50,1,230.506124
48,3,230.533108
48,3,230.559092
50,1,230.569086
50,1,230.57808
47,4,230.613061
44,7,230.673027
-6,57,231.178736
50,1,231.18974
25,26,231.419596
50,1,231.429605
45,6,231.48656
50,1,231.497567
-197,248,233.733263
-63,114,234.795651
3,48,235.264379
49,2,235.282369
-14,65,235.87303
-22,73,236.580621
15,36,236.899437
-29,80,237.701974
25,26,237.967821
49,2,237.98681
42,9,238.077758
43,8,238.158712
35,16,238.322621
46,5,238.3706
50,1,238.380587
47,4,238.418561
44,7,238.488523
45,6,238.55948
48,3,238.586466
-29,80,239.301052
-7,58,239.847737
48,3,239.87672
49,2,239.89571
42,9,239.983659
41,10,240.083601
49,2,240.105591
48,3,240.139574
33,18,240.310473
49,2,240.32846
48,3,240.358443
49,2,240.376432
15,36,240.709246
10,41,241.115007
45,6,241.174973
43,8,241.259923
-351,402,244.958791
25,26,245.182664
41,10,245.267613
41,10,245.350565
50,1,245.358563
49,2,245.379549
47,4,245.414529
44,7,245.475493
28,23,245.677389
49,2,245.694367
48,3,245.719353
45,6,245.775321
48,3,245.800307
-184,235,247.902095
42,9,247.977052
41,10,248.068998
50,1,248.077993
37,14,248.199923
50,1,248.209917
48,3,248.235903
25,26,248.468769
47,4,248.504748
48,3,248.535729
-168,219,250.490603
32,19,250.660505
49,2,250.678494
-49,100,251.581974
46,5,251.629946
46,5,251.678918
44,7,251.754874
50,1,251.765868
46,5,251.823835
48,3,251.858814
48,3,251.890796
-226,277,254.525276
44,7,254.587241
-56,107,255.609651
46,5,255.659623
38,13,255.786555
49,2,255.80554
39,12,255.921473
30,21,256.129352
46,5,256.177324
39,12,256.285262
-33,84,257.093796
47,4,257.138771
46,5,257.18974
48,3,257.216725
33,18,257.38663
39,12,257.497564
-7,58,258.074232
49,2,258.098217
42,9,258.190165
50,1,258.199158
48,3,258.227143
-137,188,259.999121
39,12,260.103061
41,10,260.190011
50,1,260.200005
47,4,260.233986
42,9,260.313939
50,1,260.321934
50,1,260.331929
29,22,260.525817
41,10,260.647747
-49,100,261.570217
-160,211,263.410155
43,8,263.475117
35,16,263.619034
48,3,263.645022
-70,121,264.680423
43,8,264.752382
45,6,264.803351
41,10,264.894299
-16,67,265.574908
39,12,265.682846
50,1,265.693841
35,16,265.837761
30,21,266.033643
46,5,266.081615
36,15,266.21254
26,25,266.433414
50,1,266.442406
45,6,266.498375
21,30,266.763224
-118,169,268.262358
26,25,268.496223
49,2,268.51721
44,7,268.584173
46,5,268.633144
40,11,268.737083
17,34,269.041908
46,5,269.08988
48,3,269.119864
47,4,269.155842
49,2,269.174831
49,2,269.194821
